actual,predicted
"syrian official  obama climbed to the top of the tree, ""does not  know how to get down"". obama sends a letter to the heads of the house and senate. obama to seek congressional approval on military action against syria. aim is to determine whether cw were used, not by whom, says united nations . spokesman. ","weapons inspectors find in syria  what happens if congress votes no  and how will the syrian government react   in a televised address from the white house rose garden earlier saturday, the president said he would take his case to congress, not because he has to    but because he wants to.what do syrias neighbors think   why russia, china, iran stand by assad  syrias government unfazed  after obamas speech, a military and political analyst on syrian state tv said obama is ""embarrassed"" that russia opposes military action against syria, is ""crying for help"" for someone to come to his rescue and is facing two defeats    on the political and military levels.""  syria missile strike  what would happen next   map  american."
usain bolt wins third gold of world championship. anchors jamaica to  x m relay victory. eighth gold at the championships for bolt. jamaica double up in womens  x m relay. ,cnn     usain bolt rounded off the world championships sunday by claiming his third gold in moscow as he anchored jamaica to victory in the mens  x m relay
"the employee in agencys kansas city office is among hundreds of ""virtual"" workers. the employees travel to and from the mainland american . last year cost more than   , . the telecommuting program, like all gsa practices, is under review. ","congress launched an investigation into the gsa after a scathing inspector generals report issued this year showed lavish spending      ,     at the agencys western regions conference in las vegas in october.and   gsa employees, most of them supervisors or other senior staff    all subjects of inspector general investigations    are still collecting their bonuses, totaling more than    million in taxpayer money"
"new  a canadian doctor says she was part of a team examining harry burkhart in  . new  diagnosis  ""autism, severe anxiety, post traumatic stress disorder and depression"". burkhart is also suspected in a german arson probe, officials say. prosecutors believe the german national set a string of fires in los angeles. ","los angeles  cnn     a medical doctor in vancouver, british columbia, said thursday that california arson suspect harry burkhart suffered from severe mental illness in  , when she examined him as part of a team of doctors.burkhart, a   year old german national, has been charged with   counts of arson following a string of   fires in los angeles"
another arrest made in gang rape outside california school. investigators say up to   people took part or stood and watched the assault. four suspects appeared in court thursday; three wore bulletproof vests. ,"cnn     police arrested another teen thursday, the sixth suspect jailed in connection with the gang rape of a   year old girl on a northern california high school campus"
"humanitarian groups expect  ,  refugees in one camp, a united nations . official says. others have fled across the border to united nations . camps in liberia, he says. this follows attacks that killed   united nations . peacekeepers and   civilians. ","the movement comes after blue helmeted peacekeepers    who were in the area because of threats against civilians    came under attack, the united nations said in a statement.cnn     thousands on saturday fled the area in southwestern ivory coast where attacks left seven united nations"
"new    groups announce legal challenge in phoenix. american civil liberties union, aclu of arizona, national immigration law center slam law. mexican american legal defense and educational fund also objects to it. they say law encourages racial profiling, but supporters say it does not  involve any illegal acts. ","cnn     four groups that advocate for immigrant rights said thursday they will challenge arizonas new immigration law, which allows police to ask anyone for proof of legal american..""  the national coalition of latino clergy   christian leaders said sunday it also planned legal action"
labor day is the unofficial end of summer and the unofficial start to campaign season. as much as   .  billion could be spent on advertising for this midterm election. here are five must follow races for these midterms. ,###
new  autopsy indicates he had been dead for hours before police arrived. youtube video appears to show the activist bound and blindfolded. the activist and freelance journalist was from the lombardy region in northern italy. ,###
"the radio personality was taken to a hospital sunday. spokesman for hospital says casey kasem being treated for wounds, blood pressure issues. he had been at a friends home in washington state after his wife took him there. she has been feuding with three stepchildren over the radio icons care. ","cnn     renowned radio personality casey kasem is in critical condition at a hospital in western washington, a spokesman for st"
