actual,predicted
"syrian official  obama climbed to the top of the tree, ""does not  know how to get down"". obama sends a letter to the heads of the house and senate. obama to seek congressional approval on military action against syria. aim is to determine whether cw were used, not by whom, says united nations . spokesman. ","weapons inspectors find in syria  what happens if congress votes no  and how will the syrian government react   in a televised address from the white house rose garden earlier saturday, the president said he would take his case to congress, not because he has to    but because he wants to. intelligence report on syria  syria  who wants what after chemical weapons horror  reactions mixed to obamas speech  a spokesman for the syrian national coalition said that the opposition group was disappointed by obamas announcement. british prime minister david cameron, whose own attempt to get lawmakers in his country to support military action in syria failed earlier this week, responded to obamas speech in a twitter post saturday. what do syrias neighbors think   why russia, china, iran stand by assad  syrias government unfazed  after obamas speech, a military and political analyst on syrian state tv said obama is ""embarrassed"" that russia opposes military action against syria, is ""crying for help"" for someone to come to his rescue and is facing two defeats    on the political and military levels"
usain bolt wins third gold of world championship. anchors jamaica to  x m relay victory. eighth gold at the championships for bolt. jamaica double up in womens  x m relay. ,cnn     usain bolt rounded off the world championships sunday by claiming his third gold in moscow as he anchored jamaica to victory in the mens  x m relay
"the employee in agencys kansas city office is among hundreds of ""virtual"" workers. the employees travel to and from the mainland american . last year cost more than   , . the telecommuting program, like all gsa practices, is under review. ","kansas city, missouri  cnn     the general services administration, already under investigation for lavish spending, allowed an employee to telecommute from hawaii even though he is based at the gsas kansas city, missouri, office, a cnn investigation has found. ""  and a gsa employee in kansas city, who requested anonymity, said that hiring someone in hawaii to work for the kansas city region was ludicrous"
"new  a canadian doctor says she was part of a team examining harry burkhart in  . new  diagnosis  ""autism, severe anxiety, post traumatic stress disorder and depression"". burkhart is also suspected in a german arson probe, officials say. prosecutors believe the german national set a string of fires in los angeles. ","the worst arson sprees in the citys history began last friday morning with a car fire in hollywood that spread to apartments above a garage, but no new fires have happened since burkhart was arrested monday, los angeles district attorney steve cooley said. a search of burkharts hollywood apartment found newspaper clippings about the los angeles fires and articles from germany reporting similar car fires in frankfurt, germany in september,  , the investigator said"
another arrest made in gang rape outside california school. investigators say up to   people took part or stood and watched the assault. four suspects appeared in court thursday; three wore bulletproof vests. ,"cnn     police arrested another teen thursday, the sixth suspect jailed in connection with the gang rape of a   year old girl on a northern california high school campus"
"humanitarian groups expect  ,  refugees in one camp, a united nations . official says. others have fled across the border to united nations . camps in liberia, he says. this follows attacks that killed   united nations . peacekeepers and   civilians. ","cnn     thousands on saturday fled the area in southwestern ivory coast where attacks left seven united nations. one attack occurred late thursday and into friday near para village, not far from the west central african nations border with liberia, according to the united nations"
"new    groups announce legal challenge in phoenix. american civil liberties union, aclu of arizona, national immigration law center slam law. mexican american legal defense and educational fund also objects to it. they say law encourages racial profiling, but supporters say it does not  involve any illegal acts. ","cnn     four groups that advocate for immigrant rights said thursday they will challenge arizonas new immigration law, which allows police to ask anyone for proof of legal american. the mexican american legal defense and educational fund, the american civil liberties union, the aclu of arizona and the national immigration law center held a news conference thursday in phoenix to announce the legal challenge. ""this is an issue of concern to all citizens of the americas, beginning with the citizens of the united states, a country with a very rich tradition of immigration and respect for immigrants who have come to lead a better life,"" oas secretary general jose miguel insulza said"
labor day is the unofficial end of summer and the unofficial start to campaign season. as much as   .  billion could be spent on advertising for this midterm election. here are five must follow races for these midterms. ,"this is not just one of the only senate races republicans are at risk of losing, but also the race where the top senate republican is at risk of losing his job. the republican leader of the senate, mitch mcconnell, is in a fight for his political life against alison lundergan grimes, a relatively inexperienced democratic politician who was just   years old when mcconnell started his first term in the senate in"
new  autopsy indicates he had been dead for hours before police arrived. youtube video appears to show the activist bound and blindfolded. the activist and freelance journalist was from the lombardy region in northern italy. ,"""  arrigoni had been active in the palestinian cause for nearly a decade, and had been allied with the international solidarity movement for more than two years, ""monitoring human rights violations by israel, supporting the palestinian popular resistance against the israeli occupation and disseminating information about the situation in gaza to his home country of italy,"" the non governmental organization said in a written statement"
"the radio personality was taken to a hospital sunday. spokesman for hospital says casey kasem being treated for wounds, blood pressure issues. he had been at a friends home in washington state after his wife took him there. she has been feuding with three stepchildren over the radio icons care. ","cnn     renowned radio personality casey kasem is in critical condition at a hospital in western washington, a spokesman for st"
hawaiian airlines again lands at no.   in on time performance. the airline quality rankings report looks at the   largest american . airlines. expressjet and american airlines had the worst on time performance. virgin america had the best baggage handling; southwest had lowest complaint rate. ,"in addition to on time performance, the joint project looks at three other categories  rate of consumer complaints, mishandled bags and denied boarding performance"
the   new cardinals will be installed on february  . they come from countries such as myanmar and tonga. no americans made the list this time or the previous time in francis' papacy. ,"cnn for the second time during his papacy, pope francis has announced a new group of bishops and archbishops set to become cardinals    and they come from all over the world"
"new  bermudan premier  ""above all, this was a humanitarian act"". uyghurs are native chinese muslims; the detainees were apprehended in pakistan. china urges american . to hand over all   uyghurs held at guantanamo bay, cuba. official says american . still negotiating with palau to take remaining   uyghurs. ","the   uyghurs had left china and made their way to afghanistan, where they settled in a camp with other uyghurs opposed to the chinese government, the justice department said in its statement. in  , five other uyghur detainees were transferred to albania, according to the justice department, which said it has no reports they took part in any post resettlement criminal behavior or terrorist activities"
"a   year old boy is the latest victim of a man eating leopard, a local police chief says. he suspects one leopard is behind the deaths of   people in the past   months. a reward has been offered to anyone who captures or kills the man eating creature. leopards are common in low mountain areas of nepal but usually eat wild prey like deer. ","maheshwor dhakal, an ecologist at the department of national parks and wildlife conservation in kathmandu, agreed that it is unusual to find more than one or two man eating animals in one area"
"new  kyle white  ""without this team, there would be no medal of honor"". new  he vows to ""live up to the responsibility"" of having the top military award. new  obama calls white ""a soldier who embodies the courage of his generation"". the army vet, then  , braved enemy fire to save his wounded comrades in afghanistan. ","cnn     kyle white now has two pieces of metal to wear    one, a bracelet inscribed with the names of his six comrades killed in an ambush in afghanistan, the other, a medal of honor given to him for his valor that ensured that death toll was not  higher. white administered first aid to one wounded soldier using the only cover available  a single tree. in a brief statement to reporters after tuesdays ceremony, white called the medal of honor ""a symbol of the responsibility all soldiers knowingly face when they depart for distant lands in defense of the nation, a responsibility that locks us all in the bonds of brotherhood. ""  read the transcript of the white house ceremony    minority veterans receive long overdue medal of honor  see kyle whites army profile  cnns barbara starr contributed to this report"
"the consumer electronics show brings a slew of new gadgets. tablets running googles android and microsofts windows   will debut. ultrabooks, a new type of thinner laptop, are expected to make a splash. but some of the largest players in the consumer electronics industry are shunning ces. ","cnn     like a stereotypical beauty pageant, it looks like thin will be in at the worlds largest annual gadget convention next week in las vegas. at the   international consumer electronics show, computer makers will be pushing a new breed of ultra thin, ultra light laptops amid a sea of razor thin smartphones and tablets. tablets  electronics makers have been chasing after apples ipad for two years, and the racetrack is expected to get more crowded next week"
"manchester united again named footballs most valuable brand. the   time english champions are worth a reported    million. germanys bayern munich second on the list, worth an estimated    million. spanish rivals real madrid and barcelona both see small decreases in brand value. ","""  the top   is dominated by teams from the english premier league, with united and chelsea followed by     title winners manchester city in eighth     million   torres american ure of chelsea future  ""within europe, the premier league is still the pinnacle,"" explained chattaway. ""  with such a huge gap between the sports most lucrative brands and those with less commercial appeal, are football clubs making the most of their financial potential   ""i think there is more scope for all the clubs to further maximize value    clubs have traditionally been slow and unimaginative in monetizing the brand they own,"" chattaway said"
cnns sara sidner sees another world in a tunnel below tripoli. gadhafi may have recorded his taped messages in a studio there. rebels are methodically searching through the winding passages. ,"tripoli, libya  cnn     rebels in tripoli furiously hunting for signs of longtime libyan leader moammar gadhafi are exploring a network of tunnels and bunkers built beneath his massive compound"
"new  cheney  harsh interrogations, warrantless eavesdropping ""essential"". new  former vice president says bush rebuffed his advice on two big issues. ""an administration has to be able to respond to [crises] and we did,"" cheney said. cheney cites costs of dealing with  /  attacks, wars in afghanistan and iraq. ","washington  cnn     former vice president dick cheney on sunday defended the bush administrations economic record, the invasion of iraq and the treatment of suspected terrorists, warning that reversing its anti terrorism policies endangers americans. cheney was one of the administrations leading advocates of the   invasion of iraq, pressing the bush administrations argument that iraq was concealing weapons of mass destruction and could provide those weapons to terrorists. watch cheney tout bush administration â»  he said bush left former cheney aide lewis ""scooter"" libby ""sort of hanging in the wind"" by refusing to issue libby a pardon before leaving office"
"omar gonzalez is accused of jumping the white house fence in september. an initial evaluation finds him not competent to stand trial. his attorney argues gonzalez is fine, but agrees to more thorough exam. ","washington  cnn     a federal judge on tuesday ordered a full mental competency screening for omar gonzalez, who is accused of jumping the white house fence, after a disputed initial examination found him not competent for trial"
this is the fourth shark attack in maui this year. it took place about   yards offshore. officials will decide thursday if the beach can reopen. ,
"contaminated cantaloupes have caused illnesses in   states, the cdc says. in addition to the deaths, a total of   people have fallen ill, the agency says. the fruits are thought to be tainted by listeria monocytogenes bacteria. colorado based jensen farms has recalled its cantaloupes. ","cnn     fifteen people have now died after consuming cantaloupe contaminated with the listeria monocytogenes bacteria, the centers for disease control and prevention said friday"
"the treasurys estimate is the first detailed analysis of the ongoing problem. with budget cuts, the irs cannot deal with the fraud, according to inspector general. irs says it stopped the issuance of   .  billion in potentially fraudulent tax returns. ","cnn     criminals who file fraudulent tax returns by stealing peoples identities could rake in an estimated    billion over the next five years because the irs cannot keep up with the amount of the fraud, treasury inspector general j. ""our analysis found that, although the irs detects and prevents a large number of fraudulent refunds based on false income documents, there is much fraud that it does not detect,"" said georges prepared testimony before a joint hearing of the house ways and means subcommittees on oversight and social security. ""  the scope of the problem is illustrated by what george said his auditors found for tax year  , in which  ,  social security numbers were used multiple times as a primary taxpayer identification number"
a video featuring child actors has gone viral in mexico. it shows children facing the challenges the country faces. the video asks mexican presidential candidates for real change. some of the candidates have seen the video. ,"cnn     a short video that has gone viral in mexico asks a tough question of the countrys presidential candidates  ""are you striving only for the  presidential  chair, or will you change the future of our country ""  a young girl with brown eyes and long brown hair, wearing a simple white shirt, poses the question"
