articles,summaries
"it is  official  american . president barack obama wants lawmakers to weigh in on whether to use military force in syria.  obama sent a letter to the heads of the house and senate on saturday night, hours after announcing that he believes military action against syrian targets is the right step to take over the alleged use of chemical weapons.  the proposed legislation from obama asks congress to approve the use of military force ""to deter, disrupt, prevent and degrade the potential for future uses of chemical weapons or other weapons of mass destruction.""  it is  a step that is set to turn an international crisis into a fierce domestic political battle.  there are key questions looming over the debate  what did united nations . weapons inspectors find in syria  what happens if congress votes no  and how will the syrian government react   in a televised address from the white house rose garden earlier saturday, the president said he would take his case to congress, not because he has to    but because he wants to.  ""while i believe i have the authority to carry out this military action without specific congressional authorization, i know that the country will be stronger if we take this course, and our actions will be even more effective,"" he said. ""we should have this debate, because the issues are too big for business as usual.""  obama said top congressional leaders had agreed to schedule a debate when the body returns to washington on september  . the senate foreign relations committee will hold a hearing over the matter on tuesday, sen. robert menendez said.  transcript  read obamas full remarks  syrian crisis  latest developments  u.n. inspectors leave syria  obamas remarks came shortly after united nations . inspectors left syria, carrying evidence that will determine whether chemical weapons were used in an attack early last week in a damascus suburb.  ""the aim of the game here, the mandate, is very clear    and that is to ascertain whether chemical weapons were used    and not by whom,"" united nations . spokesman martin nesirky told reporters on saturday.  but who used the weapons in the reported toxic gas attack in a damascus suburb on august   has been a key point of global debate over the syrian crisis.  top american . officials have said theres no doubt that the syrian government was behind it, while syrian officials have denied responsibility and blamed jihadists fighting with the rebels.  british and american . intelligence reports say the attack involved chemical weapons, but united nations . officials have stressed the importance of waiting for an official report from inspectors.  the inspectors will share their findings with united nations . secretary general ban ki moon ban, who has said he wants to wait until the united nations . teams final report is completed before presenting it to the united nations . security council.  the organization for the prohibition of chemical weapons, which nine of the inspectors belong to, said saturday that it could take up to three weeks to analyze the evidence they collected.  ""it needs time to be able to analyze the information and the samples,"" nesirky said.  he noted that ban has repeatedly said there is no alternative to a political solution to the crisis in syria, and that ""a military solution is not an option.""  bergen   syria is a problem from hell for the american .  obama  'this menace must be confronted'  obamas senior advisers have debated the next steps to take, and the presidents comments saturday came amid mounting political pressure over the situation in syria. some american . lawmakers have called for immediate action while others warn of stepping into what could become a quagmire.  some global leaders have expressed support, but the british parliaments vote against military action earlier this week was a blow to obamas hopes of getting strong backing from key nato allies.  on saturday, obama proposed what he said would be a limited military action against syrian president bashar al assad. any military attack would not be open ended or include american . ground forces, he said.  syrias alleged use of chemical weapons earlier this month ""is an assault on human dignity,"" the president said.  a failure to respond with force, obama argued,  ""could lead to escalating use of chemical weapons or their proliferation to terrorist groups who would do our people harm. in a world with many dangers, this menace must be confronted.""  syria missile strike  what would happen next   map  american . and allied assets around syria  obama decision came friday night  on friday night, the president made a last minute decision to consult lawmakers.  what will happen if they vote no   it is  unclear. a senior administration official told cnn that obama has the authority to act without congress    even if congress rejects his request for authorization to use force.  obama on saturday continued to shore up support for a strike on the al assad government.  he spoke by phone with french president francois hollande before his rose garden speech.  ""the two leaders agreed that the international community must deliver a resolute message to the assad regime    and others who would consider using chemical weapons    that these crimes are unacceptable and those who violate this international norm will be held accountable by the world,"" the white house said.  meanwhile, as uncertainty loomed over how congress would weigh in, american . military officials said they remained at the ready.    key assertions  american . intelligence report on syria  syria  who wants what after chemical weapons horror  reactions mixed to obamas speech  a spokesman for the syrian national coalition said that the opposition group was disappointed by obamas announcement.  ""our fear now is that the lack of action could embolden the regime and they repeat his attacks in a more serious way,"" said spokesman louay safi. ""so we are quite concerned.""  some members of congress applauded obamas decision.  house speaker john boehner, majority leader eric cantor, majority whip kevin mccarthy and conference chair cathy mcmorris rodgers issued a statement saturday praising the president.  ""under the constitution, the responsibility to declare war lies with congress,"" the republican lawmakers said. ""we are glad the president is seeking authorization for any military action in syria in response to serious, substantive questions being raised.""  more than   legislators, including   of obamas fellow democrats, had signed letters calling for either a vote or at least a ""full debate"" before any american . action.  british prime minister david cameron, whose own attempt to get lawmakers in his country to support military action in syria failed earlier this week, responded to obamas speech in a twitter post saturday.  ""i understand and support barack obamas position on syria,"" cameron said.  an influential lawmaker in russia    which has stood by syria and criticized the united states    had his own theory.  ""the main reason obama is turning to the congress   the military operation did not get enough support either in the world, among allies of the us or in the united states itself,"" alexei pushkov, chairman of the international affairs committee of the russian state duma, said in a twitter post.  in the united states, scattered groups of anti war protesters around the country took to the streets saturday.  ""like many other americans...we are  just tired of the united states getting involved and invading and bombing other countries,"" said robin rosecrans, who was among hundreds at a los angeles demonstration.  what do syrias neighbors think   why russia, china, iran stand by assad  syrias government unfazed  after obamas speech, a military and political analyst on syrian state tv said obama is ""embarrassed"" that russia opposes military action against syria, is ""crying for help"" for someone to come to his rescue and is facing two defeats    on the political and military levels.  syrias prime minister appeared unfazed by the saber rattling.  ""the syrian armys status is on maximum readiness and fingers are on the trigger to confront all challenges,"" wael nader al halqi said during a meeting with a delegation of syrian expatriates from italy, according to a banner on syria state tv that was broadcast prior to obamas address.  an anchor on syrian state television said obama ""appeared to be preparing for an aggression on syria based on repeated lies.""  a top syrian diplomat told the state television network that obama was facing pressure to take military action from israel, turkey, some arabs and right wing extremists in the united states.  ""i think he has done well by doing what cameron did in terms of taking the issue to parliament,"" said bashar jaafari, syrias ambassador to the united nations.  both obama and cameron, he said, ""climbed to the top of the tree and do not  know how to get down.""  the syrian government has denied that it used chemical weapons in the august   attack, saying that jihadists fighting with the rebels used them in an effort to turn global sentiments against it.  british intelligence had put the number of people killed in the attack at more than  .  on saturday, obama said ""all told, well over  ,  people were murdered."" american . secretary of state john kerry on friday cited a death toll of  , , more than   of them children. no explanation was offered for the discrepancy.  iran  american . military action in syria would spark  would isaster'  opinion  why strikes in syria are a bad idea","syrian official  obama climbed to the top of the tree, ""does not  know how to get down"". obama sends a letter to the heads of the house and senate. obama to seek congressional approval on military action against syria. aim is to determine whether cw were used, not by whom, says united nations . spokesman. "
" cnn     usain bolt rounded off the world championships sunday by claiming his third gold in moscow as he anchored jamaica to victory in the mens  x m relay.  the fastest man in the world charged clear of united states rival justin gatlin as the jamaican quartet of nesta carter, kemar bailey cole, nickel ashmeade and bolt won in  .  seconds.  the american  finished second in  .  seconds with canada taking the bronze after britain were disqualified for a faulty handover.  the   year old bolt has now collected eight gold medals at world championships, equaling the record held by american trio carl lewis, michael johnson and allyson felix, not to mention the small matter of six olympic titles.  the relay triumph followed individual successes in the   and   meters in the russian capital.  ""i am  proud of myself and i will  continue to work to dominate for as long as possible,"" bolt said, having previously expressed his intention to carry on until the   rio olympics.  victory was never seriously in doubt once he got the baton safely in hand from ashmeade, while gatlin and the united states third leg runner rakieem salaam had problems.  gatlin strayed out of his lane as he struggled to get full control of their baton and was never able to get on terms with bolt.  earlier, jamaicas women underlined their dominance in the sprint events by winning the  x m relay gold, anchored by shelly ann fraser pryce, who like bolt was completing a triple.  their quartet recorded a championship record of  .  seconds, well clear of france, who crossed the line in second place in  .  seconds.  defending champions, the united states, were initially back in the bronze medal position after losing time on the second handover between alexandria anderson and english gardner, but promoted to silver when france were subsequently disqualified for an illegal handover.  the british quartet, who were initially fourth, were promoted to the bronze which eluded their mens team.  fraser pryce, like bolt aged  , became the first woman to achieve three golds in the     and the relay.  in other final action on the last day of the championships, frances teddy tamgho became the third man to leap over  m in the triple jump, exceeding the mark by four centimeters to take gold.  germanys christina obergfoll finally took gold at global level in the womens javelin after five previous silvers, while kenyas asbel kiprop easily won a tactical mens  m final.  kiprops compatriot eunice jepkoech sum was a surprise winner of the womens  m.  bolts final dash for golden glory brought the eight day championship to a rousing finale, but while the hosts topped the medal table from the united states there was criticism of the poor attendances in the luzhniki stadium.  there was further concern when their pole vault gold medalist yelena isinbayeva made controversial remarks in support of russias new laws, which make ""the propagandizing of non traditional sexual relations among minors"" a criminal offense.  she later attempted to clarify her comments, but there were renewed calls by gay rights groups for a boycott of the   winter games in sochi, the next major sports event in russia.",usain bolt wins third gold of world championship. anchors jamaica to  x m relay victory. eighth gold at the championships for bolt. jamaica double up in womens  x m relay. 
"kansas city, missouri  cnn     the general services administration, already under investigation for lavish spending, allowed an employee to telecommute from hawaii even though he is based at the gsas kansas city, missouri, office, a cnn investigation has found.  it cost more than   ,  for the business development specialist to travel to and from the mainland united states over the past year.  he is among several hundred gsa ""virtual"" workers who also travel to various conferences and their home offices, costing the agency millions of dollars over the past three years.  under the program, employees work from home and may live in another state from the region in which they are  actually assigned.  the kansas city employee, who started his job in january  , is paid   ,  and works from his home in honolulu, a gsa representative confirmed.  in the past year, according to gsa travel records, the employee has flown back to the mainland nine times for conferences and meetings. four of those trips were to st. louis; four were to washington, with a side trip to cincinnati; and one was to san diego. the total cost to taxpayers was   , .  jason klumb, the gsas regional administrator for kansas city, defended the hire.  ""the cost of that travel was included in the consideration of his candidacy as an employee as compared with the other applicants,"" klumb said. ""and when factoring all of those in, it was determined that he was the best candidate, even in light of the cost that would be incurred.""  klumb called the gsas teleworking program ""a successful program thats going to lead to cost savings for taxpayers.""  but a gsa spokeswoman said, ""we are not going to defend this type of travel.""  and a gsa employee in kansas city, who requested anonymity, said that hiring someone in hawaii to work for the kansas city region was ludicrous.  ""it does not  make sense,"" the employee said. ""when you consider everything you need when you hire someone, it would have been better to look for someone in the kansas city area. it would have reduced the cost of travel by at least   percent when you look at just the airfare of what it takes to from honolulu to washington, d.c., where a lot of business is done.""  dan tangherlini, who was appointed acting gsa administrator this year, said the agency was examining the cost of the entire teleworking program.  ""i think the most important part for the gsa to think about is make sure we open ourselves up, avail ourselves to all the smart people in the country, but then also make sure we have a clear business case,"" he said. ""if we have someone who is working in nebraska but reporting to boston, there has to be a clear explanation for what value they are  providing, and you have  got to give me the business case. you have  got to explain to me why thats a cost effective move for the american people, and thats a new standard that we are  asking everyone at gsa to adhere to.""  the gsa ""virtual employee"" program is different from telework programs offered by many private companies including cnns parent company, turner broadcasting, in which some employees are encouraged to work from home some days of the week, partially to reduce traffic congestion.  the house committee on oversight and government reform requested details about the gsas teleworking program in june. that followed disclosures that   virtual employees, including   in supervisory positions, spent nearly   ,  in travel costs between october   and june  .  ""the american people have a right to know that federal bureaucrats who enjoy the benefits of virtual work are eligible and responsible stewards of the taxpayer dollars that support the program,"" according to a letter from committee chairman rep. darrell issa, r california, to the gsa.  the details requested by issa about the gsa program have not been provided to the committee. cnn also requested the information more than two months ago through the federal freedom of information act but has been repeatedly told by the gsa that foia staff members have not finished compiling the material.  the general services administration, which has more than  ,  employees and a   .  billion budget, is a relatively obscure federal agency that handles government real estate and other non military procurement. congress launched an investigation into the gsa after a scathing inspector generals report issued this year showed lavish spending      ,     at the agencys western regions conference in las vegas in october  .  the controversy became politically toxic after reports and video clips of the lavish conference were released. the revelation prompted taxpayer indignation, embarrassed the administration and put a spotlight on wasteful spending by the gsa.  jeff neely, the gsa official who organized the conference, resigned, as did the agencys administrator, martha johnson. two of johnsons deputies were fired, and eight other employees left the agency. tangherlini, a former treasury department official, took over as acting gsa administrator.  in addition to the las vegas conference, the gsa apparently spent   ,  to relocate an employee from denver to hawaii and probably millions more on other employees over a two year period, according to a transcript of an interview with a gsa event planner. and   gsa employees, most of them supervisors or other senior staff    all subjects of inspector general investigations    are still collecting their bonuses, totaling more than    million in taxpayer money.  in july, a cnn investigation revealed that the gsas kansas city office spent more than   ,  to send employees to cooking classes to build team spirit. while the classes do not amount to a significant sum of money in the world of trillion dollar government budgets, insiders said it was part of the free spending culture that went on for years at the gsas kansas city regional headquarters.  gsa spokeswoman betsaida alcantara said in a statement this year that all the agencys practices are under a top down review.  cnns sara anwar, elizabeth m. nunez and tom cohen contributed to this report.  watch erin burnett weekdays  pm et. for the latest from erin burnett click here.","the employee in agencys kansas city office is among hundreds of ""virtual"" workers. the employees travel to and from the mainland american . last year cost more than   , . the telecommuting program, like all gsa practices, is under review. "
"los angeles  cnn     a medical doctor in vancouver, british columbia, said thursday that california arson suspect harry burkhart suffered from severe mental illness in  , when she examined him as part of a team of doctors.  dr. blaga stancheva, a family physician and specialist in obstetrics, said both burkhart and his mother, dorothee, were her patients in vancouver while both were applying for refugee status in canada.  ""i was asked to diagnose and treat harry to support a claim explaining why he was unable to show up in a small claims court case,"" stancheva told cnn in a phone interview. she declined to cite the case or burkharts role in it.  stancheva said she and other doctors including a psychiatrist diagnosed burkhart with ""autism, severe anxiety, post traumatic stress disorder and depression."" the diagnosis was spelled out in a letter she wrote for the small claims court case, stancheva said.  stancheva, citing doctor patient confidentiality, would not elaborate further, nor would she identify the psychiatrist involved in the diagnosis.  burkhart, a   year old german national, has been charged with   counts of arson following a string of   fires in los angeles. the charges are in connection with arson fires at   locations scattered through hollywood, west hollywood and sherman oaks, according to authorities.  stancheva said the refugee applications by burkhart and his mother were denied by the canadian government, and she has not seen burkhart since early march of  .  ""i was shocked and dismayed at what happened in los angeles, and it appears he was not being treated for his depression,"" she said.  burkhart was in court on wednesday for a preliminary hearing.  prosecutors said his ""rage against americans,"" triggered by his mothers arrest last week, motivated his ""campaign of terror"" with dozens of fires in hollywood and nearby communities.  burkhart kept his eyes closed and remained limp during most of his hearing, requiring sheriffs deputies to hold him up.  the district attorney called his courtroom behavior ""very bizarre.""  ""this defendant has engaged in a protracted campaign in which he has set, the people believe, upwards of   arson fires in what essentially amounts to a campaign of terror against this community,"" los angeles county deputy district attorney sean carney said. ""the people believe he has engaged in this conduct because he has a hatred for americans.""  carney told the court burkhart would flee the country if he was allowed out of jail on bond, but los angeles superior court judge upinder kalra said he had no choice but to set bail. to go free while awaiting trial, burkhart must post a   .  million bond and surrender his german passport.  it was revealed that burkhart is also under investigation for arson and fraud in relation to a fire in neukirchen, near frankfurt, germany.  the worst arson sprees in the citys history began last friday morning with a car fire in hollywood that spread to apartments above a garage, but no new fires have happened since burkhart was arrested monday, los angeles district attorney steve cooley said.  no one was hurt in the fires, but property damage costs are likely to reach    million, authorities said.  cooley called it ""almost attempted murder,"" because people were sleeping in apartments above where burkhart allegedly set cars on fire with incendiary devices placed under their engines.  the criminal complaint filed wednesday also alleged that the fires were ""caused by use of a device designed to accelerate the fire,"" cooley said. ""if found true, the allegation could mean additional custody time for the defendant.""  ""in numerous instances, the cars were parked in carports, resulting in the fires spreading to the adjacent occupied apartment buildings,"" a sworn affidavit from a los angeles arson investigator said. ""the vast majority of these fires occurred late at night when the occupants of the apartment buildings were asleep.""  investigator edward nordskogs affidavit detailed burkharts behavior a day before the fires began, when he was in a federal courtroom during extradition proceedings for his mother.  ""while in the audience, the defendant  burkhart  began yelling in an angry manner, 'f  k all americans.' the defendant also attempted to communicate with his mother who was in custody. shortly thereafter, the defendant was ejected from the courtroom by deputy american . marshals,"" nordskog wrote.  dorothee burkhart was arrested a day before on an international arrest warrant issued by a district court in frankfurt, germany, said federal court spokesman gunther meilinger. the   year old german woman is wanted on   counts of fraud and three counts of embezzlement, he said.  the charges include an allegation that she failed to pay for a breast enhancement operation performed on her in  , meilinger said. most of the german charges, however, stem from phony real estate deals that dorothee burkhart allegedly conducted between   and  .  ""it is my opinion that the defendants criminal spree was motivated by his rage against americans and that by setting these fires the defendant intended to harm and terrorize as many residents of the city and county of los angeles as possible,"" nordskog wrote.  a search of burkharts hollywood apartment found newspaper clippings about the los angeles fires and articles from germany reporting similar car fires in frankfurt, germany in september,  , the investigator said.  ""it is my opinion based on my experience that it is highly likely the defendant has a history of setting arson fires in germany before he came to the united states,"" nordskog wrote.  burkharts mother is scheduled for another extradition hearing friday, while he is due back in court for arraignment on january  . meanwhile, both burkharts are housed in a los angeles jail.","new  a canadian doctor says she was part of a team examining harry burkhart in  . new  diagnosis  ""autism, severe anxiety, post traumatic stress disorder and depression"". burkhart is also suspected in a german arson probe, officials say. prosecutors believe the german national set a string of fires in los angeles. "
" cnn     police arrested another teen thursday, the sixth suspect jailed in connection with the gang rape of a   year old girl on a northern california high school campus.  jose carlos montano,  , was arrested on charges of felony rape, rape in concert with force, and penetration with a foreign object, said richmond police lt. mark gagan.  montano was arrested thursday evening in san pablo, california, a small town about two miles from the city of richmond, where the crime took place.  montano, who was held in lieu of   .  million bail, is accused of taking part in what police said was a  â½ hour assault on the richmond high school campus.  police said as many as   people were involved in the rape in a dimly lit back alley at the school, while another   people watched without calling  .  the victim was taken to the hospital in critical condition, but was released wednesday.  four other teenage suspects were arraigned thursday on charges connected to the rape.  cody ray smith, described by the court as older than  , pleaded not guilty to charges of rape with a foreign object and rape by force.  two other juveniles, ari abdallah morales and marcelles james peter, appeared with smith at the contra costa county superior court, but did not enter a plea. the court described morales as younger than  , and did not give an age for peter.  all three juveniles, who wore bulletproof vests at the hearing, were charged as adults.  a fourth person, manuel ortega,  , appeared separately without an attorney and did not enter a plea. he did not wear a protective vest.  another person, salvador rodriguez,  , was arrested tuesday night, but he was not in court thursday.",another arrest made in gang rape outside california school. investigators say up to   people took part or stood and watched the assault. four suspects appeared in court thursday; three wore bulletproof vests. 
" cnn     thousands on saturday fled the area in southwestern ivory coast where attacks left seven united nations . peacekeepers and eight civilians dead, according to a united nations . official.  one attack occurred late thursday and into friday near para village, not far from the west central african nations border with liberia, according to the united nations.  humanitarian organizations reported saturday they were expecting about  ,  people in tai, said remi dourlot, a spokesman for the united nations . office for the coordination of humanitarian affairs. several hundred had arrived by midday saturday in the town, which is on the edge of tai national park.  another   families crossed the ivory coasts southwest border into united nations . refugee camps in liberia, and humanitarian groups said hundreds of others had been pushed south by the violence, according to dourlot.  the movement comes after blue helmeted peacekeepers    who were in the area because of threats against civilians    came under attack, the united nations said in a statement.  besides the united nations . peacekeepers, humanitarian groups reported eight civilians died in violence, said dourlot.  u.n. secretary general ban ki moon on friday called on the government of ivory coast ""to do its utmost to identify the perpetrators and hold them accountable."" he added that he understood other peacekeepers remained in danger.  ""even tonight, after the attack, more than   peacekeepers remain with the villagers in this remote region to protect them from this armed group,"" ban said.  u.n. operation in cote d'ivoire and ivory coast troops have increased their presence in the area, dourlot said saturday. members of the united nations . humanitarian affairs office have deployed to tai to coordinate relief efforts there with local authorities.  clinton urges ivory coast dialogue  a spokeswoman for the united nations . mission in ivory coast said fridays incident was the first attack on peacekeepers since they entered the country in  .  sylvie van den wildenberg, in a telephone interview from her office in abidjan, said the remaining forces were continuing to protect area residents, ""who are living in a very difficult terrain    their villages scattered.""  van den wildenberg said it was not clear who was responsible for the attack, which occurred mid afternoon. ""this is an area where you have so many different types of armed people,"" she said. ""people have different aims and different reasons to carry arms and to perpetrate attack. so this is a very complex environment. we ca not  extrapolate. we just ca not  fingerpoint any group.""  the peacekeepers were on a reconnaissance patrol because united nations . officials had heard rumors several days earlier of armed men in the area threatening to attack a village, she said.  u.n. peacekeepers remained in ivory coast after the   presidential election, when the country was thrown into crisis after incumbent president laurent gbagbo refused to acknowledge defeat to former prime minister alassane ouattara. the latter was sworn in on may  . gbagbo is in custody at the hague, accused of crimes against humanity during post election violence that killed thousands.  according to the united nations, its peacekeeping force in ivory coast as of april   included nearly  ,  uniformed personnel, as well as several hundred international civilian personnel, local staff and volunteers. they provide technical, logistical and security support to the government.  cnns christabelle fombu and tom watkins contributed to this report.","humanitarian groups expect  ,  refugees in one camp, a united nations . official says. others have fled across the border to united nations . camps in liberia, he says. this follows attacks that killed   united nations . peacekeepers and   civilians. "
" cnn     four groups that advocate for immigrant rights said thursday they will challenge arizonas new immigration law, which allows police to ask anyone for proof of legal american . residency.  the mexican american legal defense and educational fund, the american civil liberties union, the aclu of arizona and the national immigration law center held a news conference thursday in phoenix to announce the legal challenge.  ""the arizona community can be assured that a vigorous and sophisticated legal challenge will be mounted, in advance of sb s implementation, seeking to prevent this unconstitutional and discriminatory law from ever taking effect,"" said thomas a. saenz, president of the mexican american legal defense and educational fund, known as maldef.  ""this law will only make the rampant racial profiling of latinos that is already going on in arizona much worse,"" said alessandra soler meetze, executive director of the aclu of arizona. ""if this law were implemented, citizens would effectively have to carry 'their papers' at all times to avoid arrest. it is a low point in modern america when a state law requires police to demand documents from people on the street.""  republican arizona gov. jan brewer signed the law last week. it goes into effect   days after the close of the legislative session, which has not been determined.  brewer and others who support the law say it does not involve racial profiling or any other illegal acts.  ""racial profiling is illegal,"" brewer said after signing the bill friday. ""it is illegal in america, and it is  certainly illegal in arizona.""  the national coalition of latino clergy   christian leaders said sunday it also planned legal action.  ""our churches and pastors in arizona are outraged about the significant threat this anti immigrant law will have in the lives of arizonas latinos,"" said the rev. miguel rivera, the groups chairman.  ""this policy violates the rights of american citizens, particularly the fast growing latino population of arizona, by eliminating the basic right of due process, which we are certain that the courts will agree,"" rivera said.  the law requires immigrants to carry their alien registration documents at all times and requires police to question people if there is reason to suspect they are  in the united states illegally. the measure makes it a state crime to live or travel through arizona illegally.  it also targets those who hire illegal immigrant day laborers or knowingly transport them.  in addition to signing the law, brewer also issued an executive order that requires training for local officers on how to implement the law without engaging in racial profiling or discrimination.  ""this training will include what does and does not constitute reasonable suspicion that a person is not legally present in the united states,"" she said.  some officials in arizona have expressed their displeasure with the measure. phoenix mayor phil gordon said thursday that he is ""very disappointed.""  he said he is concerned that calls to boycott arizona businesses and tourism will harm the state.  ""i am  very incredulous that our state leaders    our so called leaders    have allowed our state to be split when we are  suffering economic hardships,"" gordon told cnn.  other critics say the bill is unconstitutional and will trample residents' civil rights.  ""quite simply, this law is a civil rights disaster and an insult to american values,"" said mary bauer, legal director of the southern poverty law center. ""no one in our country should be required to produce their 'papers' or demand to prove their innocence. what kind of country are we becoming ""  but a national republican leader said thursday that arizona is just filling a void left by the federal government.  ""i think the people of arizona have a right to pass their laws under the  th amendment,"" house minority leader john boehner said. ""i think it is clearly a result of the federal governments failure to secure our border and to enforce our laws.""  gordon said the real solution is comprehensive immigration reform that would allow more immigrants to legally enter the united states.  ""this law does not  accomplish that,"" he said. ""it does not  do anything on that.""  president obama has called on congress to pass a comprehensive immigration reform law this year. cnn has learned that senate majority leader harry reid and other top democratic senators will unveil the outlines of that legislation late thursday.  but boehner said at a briefing thursday that ""theres not a chance"" that congress will approve the measure this year, especially after the recent passage of a health care reform bill.  ""i have  been out here for a little while and know that in the middle of an election year, after we have  had bills like health care shoved down our throats and the process twisted, tortured, pressured, bribed, you cannot do a serious piece of legislation of this size, with this difficulty, in this environment,"" he said. ""and it is  nothing more than a cynical ploy to try and engage voters, some segment of voters, to show up in this novembers elections.""  the arizona measure has drawn sharp criticism from the mexican government, which issued an advisory to its citizens this week. the secretary general of the organization of american states and some member states also expressed concerns about the law wednesday.  ""this is an issue of concern to all citizens of the americas, beginning with the citizens of the united states, a country with a very rich tradition of immigration and respect for immigrants who have come to lead a better life,"" oas secretary general jose miguel insulza said. ""the rich tradition we all admire, of recognizing immigrants in the united states, has been harmed, undermined.""  the uproar caused by the law has even spread to the nations pastime. protesters plan to demonstrate against the arizona diamondbacks baseball team thursday outside wrigley field in chicago, illinois.  in arizona, two popular singers also will voice their opposition.  grammy award winning colombian singer shakira is scheduled to meet with gordon on thursday evening.  singer songwriter linda ronstadt, an arizona native of mexican and german descent, also attended the thursday afternoon rally with the immigrant rights groups.  ""what gov. brewer signed into law last week is a piece of legislation that threatens the very heart of this great state,"" ronstadt said. ""we must come together and stop sb  from pitting neighbor against neighbor to the detriment of us all.""  federal officials estimate there are about  .  million illegal immigrants in the united states, of which about  .  million come from mexico and  ,  from the rest of latin america. about   million come from asia.  arizona, which is on the mexican border, has about  ,  undocumented immigrants, the federal government says. at least five other states, including california, with  .  million, have more undocumented immigrants, the government says.  the other states with more illegal immigrants than arizona are texas, florida, new york and georgia.  a pew research center survey late last year found that americans believe latinos are discriminated against more than any other major racial or ethnic group in american society.  the pew survey also indicated that about one third of the nations latinos say they or someone they know has experienced discrimination. about   percent said they had been stopped by police or other authorities and asked about their immigration status in the year before the survey.  fifty seven percent of those surveyed said they worried that they, a family member or a close friend could be deported.","new    groups announce legal challenge in phoenix. american civil liberties union, aclu of arizona, national immigration law center slam law. mexican american legal defense and educational fund also objects to it. they say law encourages racial profiling, but supporters say it does not  involve any illegal acts. "
"while labor day is the unofficial end of summer, it is  also the unofficial start to the campaign season.  that means politicking will be on the rise, especially as control of the senate is at stake as well as control of   state houses. so, if you turn on your tv, expect to see more    and nastier    political advertisements. in fact, elizabeth wilner, senior vice president of kantar ad intelligence, says as much as   .  billion is going to be spent on advertising this midterm season.  the race with the most at stake is the one for american . senate in kentucky. this is not just one of the only senate races republicans are at risk of losing, but also the race where the top senate republican is at risk of losing his job.  the republican leader of the senate, mitch mcconnell, is in a fight for his political life against alison lundergan grimes, a relatively inexperienced democratic politician who was just   years old when mcconnell started his first term in the senate in  .  mcconnell, a shrewd politician, prolific fundraiser and expert campaigner, has had numerous missteps, making this race even more interesting. his troubles include a flubbed campaign ad, a campaign manager who was a little too honest, the recent resignation of that manager and a caught on tape moment.  grimes, meanwhile, has also stumbled when talking about foreign policy, and questions have arisen about a possible sweetheart deal involving her campaign bus.  this is one of the most interesting and critical races in the country.  how mitch mcconnell crushed the tea party  here are four other races that are worth watching   wisconsin governor  the wisconsin governors race has many national repercussions, as republican gov. scott walker is locked in a tight re election battle against former trek bicycle executive mary burke.  economic policy is a central component of this campaign.  walker has gained prominence in conservative politics for governing as a fiscal conservative and making deep cuts to spending by cutting public union workers' pensions. he also drastically limited workers' bargaining rights. meanwhile, democrats, backed by labor unions, are again fighting to defeat walker    they forced a recall two years ago that walker won    to move forward on more democratic economic policies, including lifting the minimum wage.  walker, who is also being investigated for alleged illegal campaign coordination with outside groups, is considered a potential   republican presidential candidate, but if he loses his gubernatorial race, his path to the presidency will be very, very narrow.  democrats and republicans understand the stakes, and president barack obama traveled to wisconsin on labor day to speak at a union event in a trip packed with political symbolism.  walker, burke tied up in new poll  u.s. senate, louisiana  democratic sen. mary landrieu always has tough races, and her fourth bid for the senate seat is no exception. republican rep. bill cassidy is the person who is giving landrieu another difficult run.  cassidy is tying landrieu to obama in this conservative leaning state while painting her as a corrupt washington insider. landrieu, meanwhile, is attempting to paint her senate tenure as a picture of independence.  most interestingly, a political roller coaster is possible. if landrieu or cassidy does not  receive more than    of the vote on election day in november, a winner wo not  be named until that states december   election. theres a chance the louisiana race, and the balance of the senate, might be dragged out until december.  sen. mary landrieu to reimburse senate for charter flight  national democrats go after cassidy on medicare  u.s. senate, iowa  when popular sen. tom harkin decided to retire, democrats had a small panic attack as this solidly democratic seat was now in play. but when rep. bruce braley jumped in, democrats' confidence was restored.  but then that confidence has been shaken as braley has run a gaffe prone campaign that involves digs at farmers and meandering chickens. his missteps    combined with the surprising strength of republican candidate joni ernst, who has run a great campaign that began with a breakout performance in the crowded republican primary    make this a possible and unexpected pickup for republicans.  climate group attacks ernst on tax pledge, not climate  floridas  nd congressional district  there is little to no chance that republicans will lose control of the house of representatives, and some race analyzers say the gop will even pick up seats. but this race could be a bright spot for democrats.  even in what is expected to be a difficult year for democrats, democratic candidate gwen graham could pull out a victory in this republican leaning district of tallahassee and the central part of the florida panhandle.  graham has some advantages. she has no problem getting money    raising more than southerland    and she has a florida famous last name. her father is longtime sen. bob graham, giving her access to his connections and deep knowledge of running successful campaigns.  key races in    complete midterm coverage",labor day is the unofficial end of summer and the unofficial start to campaign season. as much as   .  billion could be spent on advertising for this midterm election. here are five must follow races for these midterms. 
