actual,predicted
"syrian official  obama climbed to the top of the tree, ""does not  know how to get down"". obama sends a letter to the heads of the house and senate. obama to seek congressional approval on military action against syria. aim is to determine whether cw were used, not by whom, says united nations . spokesman. ","officials have said theres no doubt that the syrian government was behind it, while syrian officials have denied responsibility and blamed jihadists fighting with the rebels.officials have stressed the importance of waiting for an official report from inspectors.british prime minister david cameron, whose own attempt to get lawmakers in his country to support military action in syria failed earlier this week, responded to obamas speech in a twitter post saturday.""  a top syrian diplomat told the state television network that obama was facing pressure to take military action from israel, turkey, some arabs and right wing extremists in the united states"
usain bolt wins third gold of world championship. anchors jamaica to  x m relay victory. eighth gold at the championships for bolt. jamaica double up in womens  x m relay. ,"fraser pryce, like bolt aged  , became the first woman to achieve three golds in the     and the relay"
"the employee in agencys kansas city office is among hundreds of ""virtual"" workers. the employees travel to and from the mainland american . last year cost more than   , . the telecommuting program, like all gsa practices, is under review. ","in the past year, according to gsa travel records, the employee has flown back to the mainland nine times for conferences and meetings.""the cost of that travel was included in the consideration of his candidacy as an employee as compared with the other applicants,"" klumb said"
"new  a canadian doctor says she was part of a team examining harry burkhart in  . new  diagnosis  ""autism, severe anxiety, post traumatic stress disorder and depression"". burkhart is also suspected in a german arson probe, officials say. prosecutors believe the german national set a string of fires in los angeles. ","the charges include an allegation that she failed to pay for a breast enhancement operation performed on her in  , meilinger said.""it is my opinion that the defendants criminal spree was motivated by his rage against americans and that by setting these fires the defendant intended to harm and terrorize as many residents of the city and county of los angeles as possible,"" nordskog wrote"
another arrest made in gang rape outside california school. investigators say up to   people took part or stood and watched the assault. four suspects appeared in court thursday; three wore bulletproof vests. ,"a fourth person, manuel ortega,  , appeared separately without an attorney and did not enter a plea"
"humanitarian groups expect  ,  refugees in one camp, a united nations . official says. others have fled across the border to united nations . camps in liberia, he says. this follows attacks that killed   united nations . peacekeepers and   civilians. ","""people have different aims and different reasons to carry arms and to perpetrate attack.mission in ivory coast said fridays incident was the first attack on peacekeepers since they entered the country in"
"new    groups announce legal challenge in phoenix. american civil liberties union, aclu of arizona, national immigration law center slam law. mexican american legal defense and educational fund also objects to it. they say law encourages racial profiling, but supporters say it does not  involve any illegal acts. ","in addition to signing the law, brewer also issued an executive order that requires training for local officers on how to implement the law without engaging in racial profiling or discrimination.the secretary general of the organization of american states and some member states also expressed concerns about the law wednesday.it is a low point in modern america when a state law requires police to demand documents from people on the street"
labor day is the unofficial end of summer and the unofficial start to campaign season. as much as   .  billion could be spent on advertising for this midterm election. here are five must follow races for these midterms. ,"so, if you turn on your tv, expect to see more    and nastier    political advertisements.if landrieu or cassidy does not  receive more than    of the vote on election day in november, a winner wo not  be named until that states december   election"
new  autopsy indicates he had been dead for hours before police arrived. youtube video appears to show the activist bound and blindfolded. the activist and freelance journalist was from the lombardy region in northern italy. ,"police investigating the case learned where   year old vittorio arrigoni was being held and went to the location, where they found the body, the statement said"
"the radio personality was taken to a hospital sunday. spokesman for hospital says casey kasem being treated for wounds, blood pressure issues. he had been at a friends home in washington state after his wife took him there. she has been feuding with three stepchildren over the radio icons care. ","casey kasem, who was also the voice of shaggy in the cartoon ""scooby doo"" and an announcer for nbc, retired in"
hawaiian airlines again lands at no.   in on time performance. the airline quality rankings report looks at the   largest american . airlines. expressjet and american airlines had the worst on time performance. virgin america had the best baggage handling; southwest had lowest complaint rate. ,expressjet and american airlines had the worst on time performance
the   new cardinals will be installed on february  . they come from countries such as myanmar and tonga. no americans made the list this time or the previous time in francis' papacy. ,"last year, pope francis appointed   new cardinals, including bishops from haiti and burkina faso"
"new  bermudan premier  ""above all, this was a humanitarian act"". uyghurs are native chinese muslims; the detainees were apprehended in pakistan. china urges american . to hand over all   uyghurs held at guantanamo bay, cuba. official says american . still negotiating with palau to take remaining   uyghurs. ",state department considers a terrorist organization    that operates in the xinjiang region.the united states will not send uyghur detainees cleared for release back to china out of concern that they would be tortured by chinese authorities
"a   year old boy is the latest victim of a man eating leopard, a local police chief says. he suspects one leopard is behind the deaths of   people in the past   months. a reward has been offered to anyone who captures or kills the man eating creature. leopards are common in low mountain areas of nepal but usually eat wild prey like deer. ","while cases of leopards killing domestic animals are common, and there are sometimes instances of leopards killing people in nepal, this case is ""extreme,"" dhakal said"
